,COMP1,COMP2,COMP3,diagnosis
0,9.192836826472668,1.9485831247531755,-1.1231670946367227,M
1,2.387801796075226,-3.768171686356925,-0.5292936427225768,M
2,5.733896279916304,-1.0751737579133342,-0.5517482741413724,M
3,7.122953198670399,10.275589322746344,-3.232793097748648,M
4,3.935302073754826,-1.9480715526315835,1.38976648241158,M
5,2.380247150377582,3.949928902312389,-2.934876918155349,M
6,2.2388833081402395,-2.6900312593703872,-1.6399132328302095,M
7,2.143298500425583,2.340244016669408,-0.8719474309297519,M
8,3.174924293079884,3.3918129513831805,-3.1199859018115133,M
9,6.351746789435985,7.72717404793716,-4.341915502327121,M
10,-0.8104137706784186,-2.6592754629958275,-0.4888304020668795,M
11,2.651100477097436,0.0665678969997876,-1.526454798874201,M
12,8.185034458829335,2.700976634661049,5.7302283013319935,M
13,0.3421259141951323,-0.968279218425306,1.7171708451188177,M
14,4.342379194772361,4.861083338821902,-2.81611602086489,M
15,4.07565617500184,2.977061108561095,-3.1252728957676004,M
16,0.2300550158918413,-1.564757687543605,-0.802519806208125,M
17,4.418010916277365,1.4186703943100898,-2.270320082484996,M
18,4.9487035506591,-4.114333505682119,-0.3147494410047123,M
22,4.733210788486776,3.304963785629428,-1.4665376814895377,M
23,4.2085242088459545,-5.128366556570662,-0.7524012734220891,M
24,4.949632073855057,-1.543752315022154,-1.7131934489597913,M
25,7.098562855223465,2.01861040071766,-0.0290106978695675,M
26,3.5102626043843426,2.171625200918392,-3.894547891314408,M
27,3.064053886138604,-1.876552332473037,2.581747445395945,M
28,4.007264143613985,0.5372421523304849,-2.761625498126766,M
29,1.715309726588628,-1.523705013096135,0.1461869080242829,M
30,6.05944551321689,-0.7571775109498861,-0.3492383351194869,M
31,2.9022361049807293,4.005295507600686,-3.0014623574819823,M
32,4.554782688424239,0.3375360723932749,-0.7542993588398651,M
33,4.99060272234752,-1.1325889323568812,-2.577383718373599,M
34,2.985340788960111,0.7584232402082534,-3.493761681114649,M
35,2.7663691577048457,-0.3543559574423252,-1.8969627311328423,M
36,1.2961987648657796,0.9131962438689464,-1.575768104566056,M
38,-0.9980689008733052,-3.351292921965208,4.305573817554325,M
39,0.7652641158239114,0.8862440415570597,-2.704919864831345,M
40,-2.1509534707761766,-1.923991625564976,-1.18048397817219,M
41,-0.093331386717823,2.2607519749869027,-1.9047259325143544,M
42,9.087999677088074,2.0186730646403768,2.14122685708561,M
43,0.9904537656532516,0.9849300516316964,-2.3107341990040164,M
44,-0.2935465507995316,-0.1370990639586471,-3.301932388053708,M
45,5.38094040681077,-0.1348770036920796,-1.678842115875075,M
47,1.700006886939506,2.352271814406944,-3.0780894416756106,M
53,3.302550951054572,-1.1309378715935785,0.8263937494930234,M
54,-0.6746192854934239,-2.1164097007190223,-1.3962200275116827,M
56,4.648738872317004,-2.3103325952687666,-0.728808413364113,M
57,2.176862882412085,0.9721160842891468,-1.943889010656884,M
62,4.759112153643819,3.0116804606230323,-0.1662399339772323,M
64,1.691607923172506,1.5406765580142912,-1.799845251820652,M
65,1.8123054050988043,0.7227402108426934,-1.466249924159167,M
70,2.704596172877851,-4.437141718009039,0.3073444801658809,M
72,5.503705314751414,0.938325303049751,-2.2101297230768915,M
73,-0.3617091924840764,0.1197391301025828,-2.0409565704678148,M
75,1.4281675928693522,-1.9671014178017308,1.1119389813566416,M
77,6.230896511912031,0.920069545342906,0.0898272435966966,M
78,11.66871464906226,4.748617355087933,2.0058763595487585,M
82,10.769242819571554,-2.257982836028597,0.0388346937496369,M
83,5.0348110859476005,0.7744092551741582,2.682336235522191,M
85,3.2882353847799064,-1.6682370501029995,0.1469316641433015,M
86,0.6076079448299221,0.1622144519726112,1.6373761711276398,M
87,3.583563626241646,-2.2066618028082754,-1.7045362094174583,M
91,0.2524975681434527,-0.5313514194024674,0.5893255996550872,M
94,2.775865569130903,0.5580005534326314,-0.6057717070301784,M
95,4.396227954378771,-2.1235077796195343,0.5795111923814952,M
99,0.616280869807936,0.638911665060704,-0.1999187932429669,M
100,-0.4328602207524747,-1.3920442853323016,-0.08271971430391,M
105,3.213916765332602,4.046756254771099,-2.7153850220190736,M
108,13.056121857949297,0.9815130785788992,0.5988152527393721,M
117,3.110527693259986,1.5693895368683846,-2.6139357755727755,M
118,4.956725569920841,2.384846201099628,-1.9351067704163003,M
119,0.8510142628714713,-2.3067353246504325,0.5674611782542269,M
121,3.3341331980001216,-1.3255573588970622,0.7280137624353265,M
122,12.894612132467522,2.3166221530187543,6.328702449583296,M
126,-0.6388805000401078,-0.9113660433895164,-2.142723900262069,M
127,1.9191334221648075,-3.538082469320883,1.2549263007809608,M
129,4.6436913162519415,-1.4820172395713724,-1.1706793058508531,M
131,1.4320694266107237,-1.0496039879570391,-1.2620106324248874,M
132,1.3526270248869274,-1.1541415772475998,-1.2097914126426856,M
134,2.1714160181165028,-2.8262607653065714,-0.5621067990319121,M
135,-1.9768403552361973,-0.4193874300063244,-0.38057545583173,M
138,3.782026456310652,0.8603817497337065,3.670998015293962,M
141,1.3450204376990966,-1.274770964327432,0.555843699892974,M
146,2.3999978438149774,4.837988956788728,-1.0281594151508615,M
156,4.100787726175481,-0.3788039067347694,1.4463190315126029,M
161,3.387330765359885,-2.9110369578647983,3.007235142057106,M
162,6.149886189897681,-2.017652769364184,-1.5661434438657915,M
164,5.494152798031802,-4.165829231860765,-0.601262047305278,M
167,1.2136346121824155,-2.039038950399407,0.98069606299482,M
168,5.069661081599009,-1.7851523079485423,1.1736465957936826,M
171,-0.9474878917693657,-1.6847535509673102,-0.35118625167632,M
172,2.819368343602184,1.265103160341938,-2.15314472796455,M
177,2.9563018672805086,0.7064218804073951,-1.0423359356808315,M
180,9.512669844225352,-5.603484180346234,-0.6372396231348123,M
181,9.007165526687634,0.5810311595229842,-3.1347166448830053,M
182,0.7588784845447512,-1.6085326200135184,-1.5150949523383528,M
184,-0.3900189809746904,-0.9892423356372528,-2.585169547476837,M
186,0.3648761518135698,-3.574461231629185,-2.22397842857888,M
190,6.523116618914751,8.011169327458255,-0.3264188009519724,M
193,1.7796614891390286,2.776587150158586,-0.942762509788134,M
194,2.6114848935572463,1.5614217926727,-0.218188443227462,M
196,2.498438877982521,2.2784829057608404,1.3194776374141304,M
197,1.2770271747689963,-2.443259074186962,2.466318900221748,M
198,3.4731973425604594,-2.277848969835848,-1.2386830386216456,M
199,1.2566751121039634,0.382393288719056,-3.8383207878300887,M
201,1.6494606961647444,-2.1022910221972357,-0.9752724496375398,M
202,9.0365894802894,-0.655172829112883,0.2212801682123973,M
203,4.554590064456218,3.086639087365912,-2.2704031063694727,M
205,-0.223092606721871,-0.701821477295984,-2.2707622700491656,M
207,0.446544396243802,-2.7877077770933947,0.444382916183296,M
210,4.808969245091693,-3.0291028925164145,2.74401736078559,M
212,12.28501975947342,-7.543410183089579,10.112423968006455,M
213,3.3721965903776407,2.587825372645233,7.092075777474965,M
214,2.5087663120600774,2.6146485682114986,0.2063787612228239,M
215,1.3180684765248545,2.154479497108148,-1.786632501074017,M
218,4.943581014267814,-2.8483245077459984,0.913879698519899,M
219,4.298077329645208,-4.666275216489685,-0.0068403753743332,M
223,1.80324702031048,0.1664609248395876,-2.6285990010885745,M
229,2.755568001270841,3.465773627765954,-2.474051266300592,M
230,3.2572546736208703,-0.1252004629385828,-2.8960979465811816,M
233,3.316324113566569,-3.939152234274351,-0.2054541281740125,M
236,8.403847113773542,-4.153904711655621,0.0469679545991884,M
237,2.6475686329163426,-3.9511729862743774,1.3718819328980107,M
239,3.3502957910546702,-2.154569939048294,-1.108945265360592,M
244,3.795565641680151,-1.0262326721694712,0.898636169464091,M
250,7.143842038812562,-2.074842283359392,1.088388252200298,M
252,7.085010648817867,0.5282231775248805,-1.2799871508782037,M
253,1.314099003664243,-1.7754258177985458,-1.6726319922618944,M
254,3.7116495147353614,-2.807477119958049,-1.7561934453258563,M
255,0.4604790906293469,0.3941662436024608,-1.0046977737186158,M
256,6.392649920731995,-1.823094121708528,0.4798489778329925,M
257,5.255544949919641,3.894531019300521,-0.833853956412831,M
258,8.73386150363054,3.27987751476422,2.9036970618205475,M
259,3.691317880235382,1.0656460685738751,-3.5155890606138858,M
260,3.3782508724809737,-3.3712279366942224,-1.7667769737002297,M
261,-0.8402096541221693,-3.500085091320009,0.1824846764206993,M
262,3.2843726195851795,-0.9906732808863292,2.554387775084065,M
263,-1.9087689283259737,-3.121945844908856,-1.0630554197733617,M
264,1.6147819252377822,-2.4745733727240267,-1.9911343364117096,M
265,6.619726346549437,-6.003276477533221,0.9893788131895658,M
272,7.676149471425566,-3.0753063543066737,1.4819602770069522,M
274,0.3373454925897135,-3.144373468889869,-0.1157212927992603,M
277,0.0174307916062777,-3.4593432666621253,0.3069203720362482,M
280,4.96026811779492,-1.341123054700689,-1.457053195063006,M
282,3.785060102958877,-1.901907408929548,-1.7442420242604575,M
283,2.637255777357448,0.5771550137399097,-1.9947001475274584,M
297,-2.385882758168865,-0.8241155186154355,1.983962572728527,M
300,6.59023594333955,-1.484862450955822,0.3613399139546313,M
302,7.182933102298516,0.055146103704027,2.012917142009778,M
317,1.8953162762963995,-2.392238007914151,-1.6764912116082706,M
321,1.834840467214126,-4.321522951263002,0.3166851173855476,M
323,7.236485314679596,-0.0357017379366602,-2.841067627176102,M
328,2.250510373945826,-0.3485359722138111,-1.0647503132561564,M
329,2.107801227743954,1.121973916265953,1.7751586708618017,M
330,1.7859499803278376,-0.2692216338872544,-1.722515368378604,M
335,3.3196739716360053,-1.5770528183089547,1.3607280889774256,M
337,4.680166262279836,-0.968592979270302,-0.2912718123649265,M
339,7.353218574869532,-5.242623175730879,0.3169564033917967,M
343,4.975162358676884,-1.332572125190731,0.8709766244826571,M
351,6.182283742061248,5.108005526702688,0.5211392173967224,M
352,10.93429815842248,-3.703254080804836,-0.8916940777986982,M
353,2.118496932282908,0.2966291430663604,0.867484116548994,M
365,2.7350117718487352,-3.945168194468545,-0.0171701232245353,M
366,6.227025989304889,-1.39010956259677,2.734234929595136,M
368,5.3071400215458135,-6.72341507868431,1.485666528032838,M
369,7.248001061683427,-3.6554690440243855,-0.1557035005623649,M
370,4.207220619109197,1.1762429134450565,-1.5900187207490963,M
372,3.6350149468221375,-1.9564408818767551,-0.8287756251553449,M
373,3.5192482750093976,-3.858607121024578,-1.022529045003545,M
379,3.765932154001124,5.985295326862151,-4.880360779343374,M
385,-0.5429013639754553,-1.317067870319558,0.9957538416040266,M
389,4.703500732039722,-0.1959556849336454,3.7570317434587737,M
392,4.149097342575439,0.7674888704712195,-0.8879751476567386,M
393,7.67214155261211,-0.8604841535180097,-2.1536500737601427,M
400,6.289673469267499,2.0365473414190025,-3.1820812917405035,M
408,2.76337078628948,-1.0786335092334782,-1.1796239392809988,M
414,-0.9340908104280864,-2.105945602642415,1.4329172303900164,M
417,6.003616591562478,-0.0910291830173485,1.7112009921621234,M
430,4.949858461764069,3.0060641733462505,-1.7540724521535715,M
432,4.549111146934651,-0.8160004417571531,-0.51875620346456,M
433,4.442342817886066,-0.992438948834557,1.4423199751563798,M
435,0.6644409149510079,0.4368609096670061,-2.6807828224618984,M
441,2.472356916584657,-1.4998247906264903,0.5914538844215271,M
444,0.9817275419112612,-2.2104299441812434,-1.6999192749942424,M
446,3.2454136490170105,-1.778358608835515,-1.7931540786031392,M
449,4.331653344733849,-4.049332377276035,-0.1925062403991363,M
451,2.511753102079228,-2.528807621538229,0.7982029824238192,M
460,3.475493748351101,-1.6728843455360822,0.8568260007544741,M
461,16.319233230258373,-7.775852965620283,6.235418391815933,M
468,5.9309648600017,1.2282967696682006,1.7215862085250595,M
479,3.824433042912654,2.305236310336531,0.0275463035430733,M
487,4.754614870538551,-1.489423587425674,-1.2537506253158903,M
489,-0.7417817673067885,-2.452035016798235,-1.9977090485618425,M
492,3.103519703980606,-1.2361532005950313,1.2873548971025095,M
498,3.715705103579647,-1.058686195710005,0.5219531515394519,M
499,5.094841843795298,-2.019207834581038,-0.7093696829454071,M
501,2.790399829437092,3.385560772452473,-0.7530763342507365,M
503,7.259178841142768,-5.495735646231468,1.910924585695265,M
509,4.094142557356806,2.8029272742564344,-0.5074338668339954,M
512,2.226994489689345,1.9416348588526664,-2.2856052223294743,M
514,-0.7337724523556937,-1.9436972071841832,-0.2752357857319817,M
516,2.6972237542255346,-1.943709981898857,-0.9605638135891198,M
517,3.3790146676389883,-2.333428962482231,-1.2019318788238356,M
521,8.630755859561612,-3.4594518185223686,-0.179058481791632,M
533,4.028435260904779,-2.941430133465732,1.6594860250340362,M
535,5.16541094849299,-2.3822031927389475,-0.4222779467800485,M
536,0.5359319490684652,0.3807150708022007,-0.4431334623365884,M
562,5.917612589397479,3.4826367113062093,-3.2627925912565763,M
563,8.741338077883166,-0.5738545450634261,0.8970878884563632,M
564,6.4393154841454505,-3.576817404676361,2.459485888494292,M
565,3.793382370020637,-3.584047866585786,2.0884764382545,M
566,1.2561792761370976,-1.902296715530677,0.5627305546659375,M
567,10.374794059507243,1.6720100509964746,-1.8770283873538067,M
